mTitle,mLink,directed_by,produced_by,written_by,starring,music_by,cinematography,edited_by,distributed_by,release_year,running_time,country,language,image_link,desc
Hedwig and the Angry Inch,https://en.wikipedia.org/wiki/Hedwig_and_the_Angry_Inch_(film),John Cameron Mitchell,Christine Vachon,John Cameron Mitchell;Stephen Trask,John Cameron Mitchell;Miriam Shor;Stephen Trask;Andrea Martin;Michael Pitt,Stephen Trask,Frank G. DeMarco,Andrew Marcus,Fine Line Features;New Line Cinema,"July 20, 2001 (2001-07-20)",92 minutes[1],United States,English;German,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/HedwigandtheAngryInchMoviePoster.jpg/215px-HedwigandtheAngryInchMoviePoster.jpg,"Hedwig and the Angry Inch is a 2001 American musical comedy-drama film written, adapted, and directed by John Cameron Mitchell, who also portrayed the title role, reprising his performance from the original production. Based on Mitchell's and Stephen Trask's stage musical of the same name, the film follows a fictional rock band fronted by an East German transgender[4] singer who survives a botched sex change operation.[5] Hedwig subsequently develops a relationship with a younger man, Tommy, becoming his mentor and musical collaborator, only to have Tommy steal her music and move on without her. The film follows Hedwig and her backing band, the Angry Inch, as they shadow Tommy's tour, while exploring Hedwig's past and complex gender identity."
Heiko,https://en.wikipedia.org/wiki/Heiko,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heiko (2008) is a Portuguese short film, directed by David Bonneville[1] and produced by the Calouste Gulbenkian Foundation. It is 13 minutes long[2]."
Heights,https://en.wikipedia.org/wiki/Heights_(film),Chris Terrio,Richard Hawley;James Ivory;Ismail Merchant,NA,Glenn Close;Elizabeth Banks;James Marsden;Jesse Bradford,Ben Butler;Martin Erskine,Jim Denault,Sloane Klevin,Sony Pictures Classics,"January 24, 2005 (2005-01-24) (Sundance Film Festival);June 17, 2005 (2005-06-17)",98 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Heights_--_movie_poster.jpg/220px-Heights_--_movie_poster.jpg,"Heights is a 2005 Merchant Ivory Productions film that follows a pivotal twenty-four hours in the interconnected lives of five New Yorkers.[2] It stars Elizabeth Banks as Isabel, a photographer, James Marsden as Jonathan, a Jewish lawyer and Isabel's fiance, Glenn Close as Diana, Isabel's mother, Jesse Bradford as Alec, an actor, and John Light as Peter, a journalist."
Hellbent,https://en.wikipedia.org/wiki/Hellbent_(2004_film),Paul Etheredge-Ouzts,Michael J. Roth;Josh Silver;Steven J. Wolfe;Brad Warshaw,Paul Etheredge-Ouzts,Dylan Fergus;Bryan Kirkwood;Hank Harris;Andrew Levitas;Matt Phillips;Nick Name (a.k.a. Kent Bradley James),Mike Shapiro,Mark Mervis,Steve Dyson;Claudia Finkle,Regent Releasing,"June 26, 2004 (2004-06-26)",85 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/HellbentPOSTER2.jpg/220px-HellbentPOSTER2.jpg,"Hellbent is a 2004 slasher film directed by Paul Etheredge-Ouzts. Hellbent played the gay and lesbian film festival circuit throughout 2004 and 2005 before a limited theatrical release in September 2005. The motion picture helped spark a wave of ""gay slasher"" films."
Henry & June,https://en.wikipedia.org/wiki/Henry_%26_June,Philip Kaufman,Peter Kaufman,Philip Kaufman;Rose Kaufman,Fred Ward;Uma Thurman;Maria de Medeiros;Richard E. Grant;Kevin Spacey,NA,Philippe Rousselot,Dede Allen;Vivien Hillgrove Gilliam;William S. Scharf,Universal Pictures,"October 5, 1990 (1990-10-05)",136 minutes[1],United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Henry%26June.jpeg/215px-Henry%26June.jpeg,"Henry & June is a 1990 American biographical drama film directed by Philip Kaufman, and stars Fred Ward, Maria de Medeiros and Uma Thurman. It is loosely based on Anaïs Nin's French book of the same name, and tells the story of Nin's relationship with Henry Miller and his wife, June."
Hidden Away,https://en.wikipedia.org/wiki/Hidden_Away_(film),Mikel Rueda,Eduardo Barinaga;Fernando Díez;Karmelo Vivanco,Mikel Rueda,Germán Alcarazu;Adil Koukouh,NA,Kenneth Oribe,NA,NA,22 March 2014 (2014-03-22) (MFF),96 minutes,Spain,Spanish;Arabic,NA,Hidden Away (Spanish: A escondidas) is a 2014 Spanish drama film directed by Mikel Rueda.[1]
Hidden Kisses,https://en.wikipedia.org/wiki/Hidden_Kisses,Didier Bivel,NA,NA,Bérenger Anceaux;Jules Houplain,NA,NA,NA,NA,4 February 2016 (2016-02-04) (LFF),1h 27min,France,French,NA,Hidden Kisses (French: Baisers cachés) is a 2016 French television film directed by Didier Bivel.[1]
Hidden Pleasures,https://en.wikipedia.org/wiki/Hidden_Pleasures,Eloy de la Iglesia,Alborada P.C.,Eloy de la Iglesia;Rafael Sánchez Campoy;Gonzalo Goicoechea,Simón Andreu;Charo López;Tony Fuentes,Carmelo A. Bernaola,Carlos Suárez,José Luis Matesanz,FILM BANDERA S.A.,14 April 1977,95 mins.,Spain,Spanish,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/Los_Palceres_ocultos.jpg/220px-Los_Palceres_ocultos.jpg,"Hidden Pleasures (Spanish: Los placeres ocultos) is a 1977 drama film, directed by Eloy de la Iglesia. The script was written by de la Iglesia, Rafael Sánchez Campoy and Gonzalo Goicoechea with the working title La acera de enfrente (The sidewalk in front), considered too daring for its time, the title was changed upon release.[1] The film stars Simón Andreu, Charo López and Tony Fuentes."
High Art,https://en.wikipedia.org/wiki/High_Art,Lisa Cholodenko,"Antidote Films;Jeff Levy-Hinte,;Susan Stover,;Dolly Hall",Lisa Cholodenko,Ally Sheedy;Radha Mitchell;Gabriel Mann;Patricia Clarkson;Bill Sage;Anh Duong;David Thornton;Tammy Grimes,NA,NA,NA,October Films,"June 12, 1998 (USA)",101 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/High_art_ver1.jpg/220px-High_art_ver1.jpg,High Art is a 1998 Canadian-American independent film directed by Lisa Cholodenko and starring Ally Sheedy and Radha Mitchell.
His Secret Life,https://en.wikipedia.org/wiki/Le_Fate_Ignoranti,Ferzan Özpetek,Tilde Corsi;Gianni Romoli,Ferzan Özpetek;Gianni Romoli,Margherita Buy;Stefano Accorsi;Serra Yilmaz;Gabriel Garko;Erika Blanc;Andrea Renzi;Koray Candemir,Andrea Guerra,NA,NA,Strand Releasing,16 March 2001 (Italy);September 2002 (U.S.),106 minutes,Italy,Italian,https://upload.wikimedia.org/wikipedia/en/thumb/f/ff/Fate_ignoranti.jpg/220px-Fate_ignoranti.jpg,The Ignorant Fairies (Italian: Le fate ignoranti; released on DVD in the US as His Secret Life) is a 2001 Italian drama film directed by Turkish-Italian film director Ferzan Özpetek.
His Brother,https://en.wikipedia.org/wiki/His_Brother_(film),Patrice Chéreau,Pierre Chevalier (producer);Joseph Strub (exec. producer),NA,Bruno Todeschini;Eric Caravaca;Nathalie Boutefeu,NA,Eric Gautier,François Gédigier,NA,2003,87 minutes,France,French,https://upload.wikimedia.org/wikipedia/en/0/01/His-brother-film.jpg,"Son frère ([His Brother] error: {{lang-xx}}: text has italic markup (help)) is a 2003 French film directed by Patrice Chéreau. The screenplay, based on the Philippe Besson 2001 book Son frère (English title His Brother) was written by Chéreau and Anne-Louise Trividic."
His Wife's Diary,https://en.wikipedia.org/wiki/His_Wife%27s_Diary,Alexei Uchitel,Alexander Golutva;Natalia Smirnova;Alexei Uchitel,Dunya Smirnova,Andrei Smirnov;Galina Tyunina;Olga Budina;Yevgeny Mironov,Leonid Desyatnikov,Yuri Klimenko,Elena Andreeva,NA,2000 (2000),110 minutes,Russia,Russian,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/His_Wife%27s_Diary.jpg/220px-His_Wife%27s_Diary.jpg,"His Wife's Diary (Russian: Дневник его жены, translit. Dnevnik ego zheny) is a 2000 Russian film directed by Alexei Uchitel. It is a story about the last love affair of Ivan Bunin (played by Andrei Smirnov). It is set in the French Riviera in the 1940s."
The History Boys,https://en.wikipedia.org/wiki/The_History_Boys_(film),Nicholas Hytner,Damian Jones;Kevin Loader;Nicholas Hytner,NA,Richard Griffiths;Clive Merrison;Frances de la Tour;Stephen Campbell Moore;Samuel Anderson;Samuel Barnett;Dominic Cooper;James Corden;Sacha Dhawan;Andrew Knott;Jamie Parker;Russell Tovey,George Fenton,Andrew Dunn,John Wilson,Fox Searchlight Pictures,13 October 2006 (2006-10-13),104 minutes,United Kingdom,English,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/The_History_Boys_%28film%29.JPG/200px-The_History_Boys_%28film%29.JPG,"The History Boys is a 2006 British comedy-drama film adapted by Alan Bennett from his play of the same name, which won the 2005 Olivier Award for Best New Play and the 2006 Tony Award for Best Play. It was directed by Nicholas Hytner, who directed the original production at the Royal National Theatre in London, and features the original cast of the play."
Hit and Run,https://en.wikipedia.org/wiki/Hit_and_Run_(2012_film),David Palmer;Dax Shepard,Andrew Panay;Nate Tuck;Kim Waltrip;Jim Casey;Dax Shepard,Dax Shepard,Dax Shepard;Kristen Bell;Kristin Chenoweth;Tom Arnold;Bradley Cooper,Robert Mervak;Julian Wass,Bradley Stonesifer,Keith Croket;Dax Shepard,Open Road Films[1],"August 22, 2012 (2012-08-22)[2]",100 minutes[3],United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Hit_and_Run_Poster.jpg/215px-Hit_and_Run_Poster.jpg,"Hit and Run is a 2012 American action comedy film written by Dax Shepard, with David Palmer and Shepard co-directing again (their first film being Brother's Justice in 2010). The film stars Shepard and his now-wife Kristen Bell, with Kristin Chenoweth, Tom Arnold, and Bradley Cooper. It was released on August 22, 2012."
Hit and Runway,https://en.wikipedia.org/wiki/Hit_and_Runway,Christopher Livingston,NA,"Jaffe Cohen, Christopher Livingston",Michael Parducci;Peter Jacobson;Judy Prescott,NA,NA,NA,Mirador Films,1999 (1999),110 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Hit_and_Runway_film_poster.jpg/220px-Hit_and_Runway_film_poster.jpg,Hit and Runway is a 1999 American comedy film directed by Christopher Livingston. It won best screenplay at the Los Angeles Independent Film Festival.
Hold You Tight,https://en.wikipedia.org/wiki/Hold_You_Tight_(film),Stanley Kwan,Raymond Chow,Jimmy Ngai;Elmond Yeung,Sunny Chan,Keith Leung;Yat-Yiu Yu,Kwan Pung-Leung,Maurice Li,Pony Canyon,"February 14, 1998 (1998-02-14) (Hong Kong)",NA,Hong Kong,Cantonese,https://upload.wikimedia.org/wikipedia/en/4/4a/HoldYouTight.jpg,Hold You Tight (Chinese: 愈快樂愈墮落; pinyin: Yù kuàilè yù duòluò) is a 1998 Hong Kong romantic drama film directed by Stanley Kwan.[1] The film features full-frontal male nudity.[2]
Holding the Man,https://en.wikipedia.org/wiki/Holding_the_Man_(film),Neil Armfield,Kylie Du Fresne,NA,Ryan Corr;Craig Stott;Kerry Fox;Camilla Ah Kin;Sarah Snook;Guy Pearce;Anthony LaPaglia,Alan John,Germain McMicking,Dany Cooper,Transmission Films,27 August 2015 (2015-08-27),128 minutes[1],Australia,English,https://upload.wikimedia.org/wikipedia/en/6/64/Holding_the_Man%2C_Australian_release_poster%2C_2015.jpg,"Holding the Man is a 2015 Australian romantic drama film adapted from Timothy Conigrave's 1995 memoir of the same name. It was directed by Neil Armfield and stars Ryan Corr and Craig Stott, with supporting performances from Guy Pearce, Anthony LaPaglia, Sarah Snook, Kerry Fox and Geoffrey Rush. The screenplay was written by Tommy Murphy who also adapted the memoir for the stage play."
Holding Trevor,https://en.wikipedia.org/wiki/Holding_Trevor,Rosser Goodman,Rosser Goodman;Brent Gorski,Brent Gorski,Brent Gorski;Jay Brannan;Melissa Searing;Eli Kranski;Christopher Wyllie,NA,Kara Stephens,Donna Matthewson,Regent Releasing,"June 16, 2007 (2007-06-16) (San Francisco International;Lesbian and Gay Film Festival);July 4, 2008 (2008-07-04) (United States)",88 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/Holding_Trevor.jpg/220px-Holding_Trevor.jpg,Holding Trevor is a 2007 gay American romantic-drama written by and starring Brent Gorski as Trevor and produced and directed by Rosser Goodman.
Hole,https://en.wikipedia.org/wiki/Hole_(film),Martin Edralin,Martin Edralin;Laura Perlmutter;Andrew Nicholas McCann Smith,Martin Edralin,Ken Harrower;Sebastian Deery;April Lee,NA,Daniel Grant,Bryan Atkinson,NA,2014 (Locarno),15 minutes,Canada,English,NA,"Hole is a Canadian short drama film, directed by Martin Edralin and released in 2014.[1]"
Holiday Heart,https://en.wikipedia.org/wiki/Holiday_Heart,Robert Townsend,Robert De Niro;Brad Epstein;Steven Felder;Jane Rosenthal;Cheryl L. West,Cheryl L. West,Ving Rhames;Chandra Currelley;Alfre Woodard;Mykelti Williamson;Jesika Reynolds,Stephen James Taylor,Jan Kiesser,Sabrina Plisco,MGM Home Entertainment;Showtime Networks,"December 10, 2000",100 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Holiday-Heart-film.jpg/220px-Holiday-Heart-film.jpg,"Holiday Heart is a 2000 TV movie starring Ving Rhames, Chandra Currelley, Alfre Woodard, Jesika Reynolds, and Mykelti Williamson. It was directed by Robert Townsend, aired on the cable TV channel Showtime, and was distributed on DVD by Metro-Goldwyn-Mayer. It was based on a play by Cheryl L. West, and involves a homosexual drag queen befriending a single mother and her daughter and trying to protect them from the criminal environment around them. It was nominated for a Golden Globe Award, for Woodard's performance, among other award nominations."
Hollow Reed,https://en.wikipedia.org/wiki/Hollow_Reed,Angela Pope,NA,Neville Bolt (story);Paula Milne (writer),Martin Donovan;Joely Richardson;Ian Hart;Jason Flemyng;Sam Bould,Anne Dudley,Remi Adefarasin,Sue Wyatt,Channel Four Films,18 April 1997 (1997-04-18) (USA),104 min (USA),United Kingdom;Germany;Spain,English,https://upload.wikimedia.org/wikipedia/en/thumb/8/81/Hollow_Reed_film_poster.jpg/220px-Hollow_Reed_film_poster.jpg,Neville Bolt (story)
Hollywood Zap!,https://en.wikipedia.org/wiki/Hollywood_Zap!,David Cohen,Ben Frank;Bobbi Frank;Dror Soref,David Cohen,Ben Frank;Ivan E. Roth;De Waldron;Neil Flanagan;Chuck Mitchell;Tony Cox,Jaap,Tom Fraser,Rick Westover,Troma Entertainment,1986 (1986),88 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/5/52/Hollywood_Zap%21_poster.png,"Hollywood Zap! is a 1986 comedy film written and directed by Canadian filmmaker David Cohen (no relation to David X. Cohen) and distributed by Troma Entertainment, a company known for its low-budget exploitation films. The film features a large number of unusual character actors, including Chuck Mitchell and Tony Cox. Scatological humor and extreme ludicrous plot turns punctuate a film that has drawn thematic comparisons to the artistic works of John Waters."
A Home at the End of the World,https://en.wikipedia.org/wiki/A_Home_at_the_End_of_the_World_(film),Michael Mayer,Tom Hulce;John Hart;Pamela Koffler;Katie Roumel;Jeffrey Sharp;Christine Vachon;John Wells,Michael Cunningham;Based on his novel,Colin Farrell;Robin Wright Penn;Dallas Roberts;Sissy Spacek,Duncan Sheik,Enrique Chediak,Andrew Marcus;Lee Percy,Warner Independent Pictures,"July 23, 2004",96 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/f/f7/A_Home_at_the_End_of_the_World_film.jpg,A Home at the End of the World is a 2004 drama film directed by Michael Mayer. The screenplay by Michael Cunningham was adapted from his 1990 novel of the same title.
Home for the Holidays,https://en.wikipedia.org/wiki/Home_for_the_Holidays_(film),Jodie Foster,Jodie Foster;Peggy Rajski,NA,Holly Hunter;Robert Downey Jr.;Anne Bancroft;Dylan McDermott;Geraldine Chaplin;Steve Guttenberg;Claire Danes;Cynthia Stevenson;Charles Durning,Mark Isham,Lajos Koltai,Lynzee Klingman,Paramount Pictures;PolyGram Filmed Entertainment,"November 3, 1995 (1995-11-03)",103 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Home_for_the_Holidays_film.jpg/220px-Home_for_the_Holidays_film.jpg,"Home for the Holidays is a 1995 comedy drama film directed by Jodie Foster and produced by Peggy Rajski and Foster. The screenplay was written by W. D. Richter, based on a short story by Chris Radant. The film's score was composed by Mark Isham."
Homme au bain,https://en.wikipedia.org/wiki/Man_at_Bath,Christophe Honoré,Justin Taurand,Christophe Honoré,François Sagat;Chiara Mastroianni,NA,David Chizallet,Chantal Hymans,NA,7 August 2010 (2010-08-07) (Locarno);22 September 2010 (2010-09-22) (France),72 minutes,France,French,https://upload.wikimedia.org/wikipedia/en/thumb/6/6f/Homme-au-bain-christophe-honore.jpg/220px-Homme-au-bain-christophe-honore.jpg,Man at Bath (French: Homme au bain) is a 2010 French film by Christophe Honoré starring François Sagat and Chiara Mastroianni. The film premiered in competition at Locarno International Film Festival in Switzerland in 2010 and was released in cinemas on 22 September 2010.
Hommes à louer,https://en.wikipedia.org/wiki/Men_for_Sale,French: Hommes à louer,Rodrigue Jean,InformAction;Co-producers:;National Film Board of Canada (NFB),NA,Rodrigue Jean,Tim Hecker,Mathieu Laverdière,NA,Mathieu Bouchard-Malo,October 2008 (2008-10),140 minutes,Canada,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Hommes-a-louer.jpg/220px-Hommes-a-louer.jpg,"Men for Sale also known by its French language title Hommes à louer (literally ""Men for rent"") is a 2008 documentary film by Canadian director Rodrigue Jean, about male prostitutes working in Montreal, Quebec, Canada. The film was shot over a one-year period in Montreal's Gay Village.[1]"
